State,Population,Area_km2,Density,Sex_Ratio,Literacy
India,1210854977,3287240,382,940,74.04
Uttar Pradesh,199812341,240928,829,912,67.68
Maharashtra,112374333,307713,365,929,82.34
Bihar,104099452,94163,1106,918,61.80
West Bengal,91276115,88752,1028,950,76.26
Andhra Pradesh,84580777,275045,308,993,67.02
Madhya Pradesh,72626809,308252,236,931,69.32
Tamil Nadu,72147030,130060,555,996,80.09
Rajasthan,68548437,342239,200,928,66.11
Karnataka,61095297,191791,319,973,75.36
Gujarat,60439692,196244,308,919,78.03
Odisha,41974218,155707,270,979,72.87
Kerala,33406061,38852,860,1084,94.00
Jharkhand,32988134,79716,414,948,66.41
Assam,31205576,78438,398,958,72.19
Punjab,27743338,50362,551,895,75.84
Chhattisgarh,25545198,135192,189,991,70.28
Haryana,25351462,44212,573,879,75.55
Delhi,16787941,1483,11320,868,86.21
Jammu and Kashmir,12541302,222236,56,889,67.16
Uttarakhand,10086292,53483,189,963,78.82
Himachal Pradesh,6864602,55673,123,972,82.80
Tripura,3673917,10486,350,960,87.22
Meghalaya,2966889,22429,132,989,74.43
Manipur,2855794,22327,128,985,76.94
Nagaland,1978502,16579,119,931,79.55
Goa,1458545,3702,394,973,88.70
Arunachal Pradesh,1383727,83743,17,938,65.38
Puducherry,1247953,490,2547,1037,85.85
Mizoram,1097206,21081,52,976,91.33
Chandigarh,1055450,114,9258,818,86.05
Sikkim,610577,7096,86,890,81.42
Andaman and Nicobar Islands,380581,8249,46,876,86.63
Dadra and Nagar Haveli,343709,491,700,774,76.24
Daman and Diu,243247,111,2191,618,87.10
Lakshadweep,64473,30,2149,946,91.85
